date,HN,HNW,HS,SWE,northing,easting,altitude,hs
2018-12-12,0.0,0.0,0.107,,116350.0,647660.0,1470.0,
2018-12-13,0.0,0.0,0.0,,116350.0,647660.0,1470.0,
2018-12-14,0.0,0.0,0.0,,116350.0,647660.0,1470.0,
2018-12-15,0.0,0.0,0.0,,116350.0,647660.0,1470.0,
2018-12-16,0.18,19.0,0.18,,116350.0,647660.0,1470.0,
2018-12-17,0.02,,0.17,,116350.0,647660.0,1470.0,
2018-12-18,0.01,,0.13,,116350.0,647660.0,1470.0,
2018-12-19,0.0,0.0,0.11599999999999999,,116350.0,647660.0,1470.0,
2018-12-20,0.0,0.0,0.0,,116350.0,647660.0,1470.0,
2018-12-21,0.08,,0.08,,116350.0,647660.0,1470.0,
2018-12-22,0.04,,0.06,,116350.0,647660.0,1470.0,
2018-12-23,0.0,0.0,0.0,,116350.0,647660.0,1470.0,
2018-12-24,0.0,0.0,0.0,,116350.0,647660.0,1470.0,
2018-12-25,0.0,0.0,0.0,,116350.0,647660.0,1470.0,
2018-12-26,0.0,0.0,0.0,,116350.0,647660.0,1470.0,
2018-12-27,0.0,0.0,0.0,,116350.0,647660.0,1470.0,
2018-12-28,0.0,0.0,0.0,,116350.0,647660.0,1470.0,
2018-12-29,0.0,0.0,0.0,,116350.0,647660.0,1470.0,
2018-12-30,0.0,0.0,0.0,,116350.0,647660.0,1470.0,
2018-12-31,0.0,0.0,0.0,,116350.0,647660.0,1470.0,
2019-01-01,0.0,0.0,0.0,,116350.0,647660.0,1470.0,
2019-01-02,0.0,0.0,0.0,,116350.0,647660.0,1470.0,
2019-01-03,0.0,0.0,0.0,,116350.0,647660.0,1470.0,
2019-01-04,0.0,0.0,0.0,,116350.0,647660.0,1470.0,
2019-01-05,0.0,0.0,0.0,,116350.0,647660.0,1470.0,
2019-01-06,0.0,0.0,0.0,,116350.0,647660.0,1470.0,
2019-01-07,0.0,0.0,0.0,,116350.0,647660.0,1470.0,
2019-01-08,0.0,0.0,0.0,,116350.0,647660.0,1470.0,
2019-01-09,0.0,0.0,0.0,,116350.0,647660.0,1470.0,
2019-01-10,0.03,,0.03,,116350.0,647660.0,1470.0,
2019-01-11,0.0,0.0,0.0,,116350.0,647660.0,1470.0,
2019-01-12,0.0,0.0,0.0,,116350.0,647660.0,1470.0,
2019-01-13,0.04,,0.04,,116350.0,647660.0,1470.0,
2019-01-14,0.09,,0.09,,116350.0,647660.0,1470.0,
2019-01-15,0.0,0.0,0.03,,116350.0,647660.0,1470.0,
2019-01-16,0.0,0.0,0.0,,116350.0,647660.0,1470.0,
2019-01-17,0.0,0.0,0.0,,116350.0,647660.0,1470.0,
2019-01-18,0.05,,0.05,,116350.0,647660.0,1470.0,
2019-01-19,0.0,0.0,0.044000000000000004,,116350.0,647660.0,1470.0,
2019-01-20,0.01,,0.04,,116350.0,647660.0,1470.0,
2019-01-21,0.0,0.0,0.0,,116350.0,647660.0,1470.0,
2019-01-22,0.0,0.0,0.0,,116350.0,647660.0,1470.0,
2019-01-23,0.0,0.0,0.0,,116350.0,647660.0,1470.0,
2019-01-24,0.0,0.0,0.0,,116350.0,647660.0,1470.0,
2019-01-25,0.0,0.0,0.0,,116350.0,647660.0,1470.0,
2019-01-26,0.0,0.0,0.0,,116350.0,647660.0,1470.0,
2019-01-27,0.0,0.0,0.0,,116350.0,647660.0,1470.0,
2019-01-28,0.06,,0.06,,116350.0,647660.0,1470.0,
2019-01-29,0.0,0.0,0.05,,116350.0,647660.0,1470.0,
2019-01-30,0.03,,0.06,,116350.0,647660.0,1470.0,
2019-01-31,0.0,0.0,0.04,,116350.0,647660.0,1470.0,
2019-02-01,0.01,,0.04,,116350.0,647660.0,1470.0,
2019-02-02,0.29,20.0,0.31,,116350.0,647660.0,1470.0,
2019-02-03,0.05,,0.32,,116350.0,647660.0,1470.0,
2019-02-04,0.0,0.0,0.23,,116350.0,647660.0,1470.0,
2019-02-05,0.0,0.0,0.16,,116350.0,647660.0,1470.0,
2019-02-06,0.0,0.0,0.05,,116350.0,647660.0,1470.0,
2019-02-07,0.0,0.0,0.0,,116350.0,647660.0,1470.0,
2019-02-08,0.0,0.0,0.003,,116350.0,647660.0,1470.0,
2019-02-09,0.0,0.0,0.0,,116350.0,647660.0,1470.0,
2019-02-10,0.0,0.0,0.0,,116350.0,647660.0,1470.0,
2019-02-11,0.06,,0.06,,116350.0,647660.0,1470.0,
2019-02-12,0.0,0.0,0.0,,116350.0,647660.0,1470.0,
2019-02-13,0.0,0.0,0.0,,116350.0,647660.0,1470.0,
2019-02-14,0.0,0.0,0.0,,116350.0,647660.0,1470.0,
2019-02-15,0.0,0.0,0.0,,116350.0,647660.0,1470.0,
2019-02-16,0.0,0.0,0.0,,116350.0,647660.0,1470.0,
2019-02-17,0.0,0.0,0.0,,116350.0,647660.0,1470.0,
2019-02-18,0.0,0.0,0.0,,116350.0,647660.0,1470.0,
2019-02-19,0.0,0.0,0.0,,116350.0,647660.0,1470.0,
2019-02-20,0.0,0.0,0.0,,116350.0,647660.0,1470.0,
2019-02-21,0.0,0.0,0.0,,116350.0,647660.0,1470.0,
2019-02-22,0.0,0.0,0.0,,116350.0,647660.0,1470.0,
2019-02-23,0.0,0.0,0.0,,116350.0,647660.0,1470.0,
2019-02-24,0.0,0.0,0.0,,116350.0,647660.0,1470.0,
2019-02-25,0.0,0.0,0.0,,116350.0,647660.0,1470.0,
2019-02-26,0.0,0.0,0.0,,116350.0,647660.0,1470.0,
2019-02-27,0.0,0.0,0.0,,116350.0,647660.0,1470.0,
2019-02-28,0.0,0.0,0.0,,116350.0,647660.0,1470.0,
2019-03-01,0.0,0.0,0.0,,116350.0,647660.0,1470.0,
2019-03-02,0.0,0.0,0.0,,116350.0,647660.0,1470.0,
2019-03-03,0.0,0.0,0.0,,116350.0,647660.0,1470.0,
2019-03-04,0.0,0.0,0.0,,116350.0,647660.0,1470.0,
2019-03-05,0.0,0.0,0.0,,116350.0,647660.0,1470.0,
2019-03-06,0.0,0.0,0.0,,116350.0,647660.0,1470.0,
2019-03-07,0.13,15.0,0.13,,116350.0,647660.0,1470.0,
2019-03-08,0.05,,0.1,,116350.0,647660.0,1470.0,
2019-03-09,0.0,0.0,0.07,,116350.0,647660.0,1470.0,
2019-03-10,0.0,0.0,0.0,,116350.0,647660.0,1470.0,
2019-03-11,0.0,0.0,0.0,,116350.0,647660.0,1470.0,
2019-03-12,0.04,,0.04,,116350.0,647660.0,1470.0,
2019-03-13,0.02,,0.02,,116350.0,647660.0,1470.0,
2019-03-14,0.0,0.0,0.0,,116350.0,647660.0,1470.0,
2019-03-15,0.09,,0.09,,116350.0,647660.0,1470.0,
2019-03-16,0.0,0.0,0.0,,116350.0,647660.0,1470.0,
2019-03-17,0.0,0.0,0.0,,116350.0,647660.0,1470.0,
2019-03-18,0.04,,0.04,,116350.0,647660.0,1470.0,
2019-03-19,0.0,0.0,0.0,,116350.0,647660.0,1470.0,
2019-03-20,0.0,0.0,0.0,,116350.0,647660.0,1470.0,
2019-03-21,0.0,0.0,0.0,,116350.0,647660.0,1470.0,
2019-03-22,0.0,0.0,0.0,,116350.0,647660.0,1470.0,
2019-03-23,0.0,0.0,0.0,,116350.0,647660.0,1470.0,
2019-03-24,0.0,0.0,0.0,,116350.0,647660.0,1470.0,
2019-03-25,0.0,0.0,0.0,,116350.0,647660.0,1470.0,
2019-03-26,0.0,0.0,0.0,,116350.0,647660.0,1470.0,
2019-03-27,0.0,0.0,0.0,,116350.0,647660.0,1470.0,
2019-03-28,0.0,0.0,0.0,,116350.0,647660.0,1470.0,
2019-03-29,0.0,0.0,0.0,,116350.0,647660.0,1470.0,
2019-03-30,0.0,0.0,0.0,,116350.0,647660.0,1470.0,
2019-03-31,0.0,0.0,0.0,,116350.0,647660.0,1470.0,
2019-04-01,0.0,0.0,0.0,,116350.0,647660.0,1470.0,
2019-04-02,0.0,0.0,0.0,,116350.0,647660.0,1470.0,
2019-04-03,0.04,,0.04,,116350.0,647660.0,1470.0,
2019-04-04,0.7,74.0,0.76,,116350.0,647660.0,1470.0,
2019-04-05,0.23,26.0,0.95,,116350.0,647660.0,1470.0,
2019-04-06,0.0,0.0,0.71,,116350.0,647660.0,1470.0,
2019-04-07,0.0,0.0,0.616,,116350.0,647660.0,1470.0,
2019-04-08,0.02,,0.6,,116350.0,647660.0,1470.0,
2019-04-09,0.0,0.0,0.48,,116350.0,647660.0,1470.0,
2019-04-10,0.0,0.0,0.34,,116350.0,647660.0,1470.0,
2019-04-11,0.0,0.0,0.29,,116350.0,647660.0,1470.0,
2019-04-12,0.0,0.0,0.21,,116350.0,647660.0,1470.0,
2019-04-13,0.0,0.0,0.16,,116350.0,647660.0,1470.0,
2019-04-14,0.0,0.0,0.09,,116350.0,647660.0,1470.0,
2019-04-15,0.0,0.0,0.05,,116350.0,647660.0,1470.0,
2019-04-16,0.0,0.0,0.0,,116350.0,647660.0,1470.0,
2019-04-17,0.0,0.0,0.0,,116350.0,647660.0,1470.0,
2019-04-18,0.0,0.0,0.0,,116350.0,647660.0,1470.0,
2019-04-19,0.0,0.0,0.004,,116350.0,647660.0,1470.0,
2019-04-20,0.0,0.0,0.0,,116350.0,647660.0,1470.0,
2019-04-21,0.0,0.0,0.0,,116350.0,647660.0,1470.0,
2019-04-22,0.0,0.0,0.0,,116350.0,647660.0,1470.0,
2019-04-23,0.0,0.0,0.0,,116350.0,647660.0,1470.0,
2019-04-24,0.0,0.0,0.0,,116350.0,647660.0,1470.0,
2019-04-25,0.0,0.0,0.0,,116350.0,647660.0,1470.0,
2019-04-26,0.0,0.0,0.0,,116350.0,647660.0,1470.0,
2019-04-27,0.0,0.0,0.0,,116350.0,647660.0,1470.0,
2019-04-28,0.0,0.0,0.0,,116350.0,647660.0,1470.0,
2019-04-29,0.0,0.0,0.0,,116350.0,647660.0,1470.0,
2019-04-30,0.0,0.0,0.0,,116350.0,647660.0,1470.0,
